"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
185,"10-Oct","Orientale","Haut-Uele","Niangara",3,,
186,"10-Oct","Orientale","Haut-Uele","Niangara",,,
187,"10-Oct","Orientale","Haut-Uele","Niangara",1,,
188,"10-Nov","Orientale","Haut-Uele","Dungu",1,,
189,"10-Nov","Orientale","Haut-Uele","Dungu",,,
190,"10-Nov","Orientale","Haut-Uele","Dungu",,,3
191,"10-Nov","Orientale","Haut-Uele","Dungu",,,1
192,"10-Nov","Orientale","Haut-Uele","Dungu",,,
193,"10-Nov","Orientale","Haut-Uele","Dungu",,,
194,"10-Nov","Orientale","Haut-Uele","Dungu",1,,
195,"10-Nov","Orientale","Haut-Uele","Dungu",1,2,
196,"10-Nov","Orientale","Haut-Uele","Dungu",,1,
197,"10-Nov","Orientale","Haut-Uele","Dungu",,,
198,"10-Nov","Orientale","Haut-Uele","Dungu",,,
199,"10-Nov","Orientale","Haut-Uele","Dungu",,,
200,"10-Nov","Orientale","Haut-Uele","Faradje",,,
201,"10-Nov","Orientale","Haut-Uele","Niangara",,,
202,"10-Nov","Orientale","Haut-Uele","Niangara",,,
203,"10-Nov","Orientale","Bas-Uele","Ango",,,5
204,"10-Dec","Orientale","Haut-Uele","Dungu",,,1
205,"10-Dec","Orientale","Haut-Uele","Dungu",,2,
206,"10-Dec","Orientale","Haut-Uele","Dungu",,,2
207,"10-Dec","Orientale","Haut-Uele","Dungu",,1,2
208,"10-Dec","Orientale","Haut-Uele","Dungu",4,,
209,"10-Dec","Orientale","Haut-Uele","Dungu",,18,
210,"10-Dec","Orientale","Haut-Uele","Dungu",,1,
211,"10-Dec","Orientale","Haut-Uele","Dungu",1,,
212,"10-Dec","Orientale","Haut-Uele","Dungu",,,
213,"10-Dec","Orientale","Haut-Uele","Dungu",1,,
214,"10-Dec","Orientale","Haut-Uele","Faradje",,2,
215,"10-Dec","Orientale","Haut-Uele","Faradje",,1,
216,"10-Dec","Orientale","Bas-Uele","Ango",,3,
