unique_id,province,territory,locality,place,axe,source,date_incident,month,month_text,type_incident,category,sub_category,num_missing,num_injured,num_deaths
511,Nord Kivu,Masisi,Kitchanga,Voie publique,Sake - Kitchanga,ACAT,4/18/12,12-Apr,Apr-12,Agression armee,Vol de rue,Avec violence physique,0,1,1
512,Sud Kivu,Mwenga,Isoga,Voie publique,Kitutu,OCHA,4/20/12,12-Apr,Apr-12,Agression armee,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
513,Nord Kivu,Masisi,Bihambwe,Voie publique,Sake - Masisi Centre,CARE International,4/24/12,12-Apr,Apr-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
514,Nord Kivu,Rutshuru,Katwe,Voie publique,Katwe - Nyanzale,CICR,4/27/12,12-Apr,Apr-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
515,Nord Kivu,Lubero,Kagherio,Voie publique,Luofu - Miriki,WHH,5/4/12,12-May,May-12,Agression armee,Vol de rue,Avec violence physique,0,0,0
516,Nord Kivu,Goma,Quartier Katindo droit,Domicile,Goma,UNDSS,5/8/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Tentative d'introduction par effraction,0,0,0
517,Nord Kivu,Goma,Quartier Katindo gauche,Domicile,Goma,UNDSS,5/8/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Tentative d'introduction par effraction,0,0,0
518,Nord Kivu,Rutshuru,Kishishe,Voie publique,Bambo - Kibirizi,PU-AMI,5/9/12,12-May,May-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
519,Nord Kivu,Walikale,Kibua,Bureau,Mpofi - Kibua,AVSI,5/13/12,12-May,May-12,Cambriolage,S_curit_ des bureaux,Occupation des bureaux,0,0,0
520,Nord Kivu,Goma,Quartier Himbi,Bureau,Goma,UNDSS,5/15/12,12-May,May-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
521,Nord Kivu,Rutshuru,Katwe,Bureau,Katwe - Bambo,MERLIN,5/16/12,12-May,May-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
522,Nord Kivu,Beni,Beni,Domicile,Butembo-Beni,OCHA,5/17/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Avec violence physique,0,1,0
523,Nord Kivu,Goma,Quartier Office I,Voie publique,Goma,UNDSS,5/18/12,12-May,May-12,Cambriolage,Vol de rue,Avec violence physique,0,0,0
524,Nord Kivu,Goma,Quartier Virunga,Domicile,Goma,HCR,5/18/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Avec violence physique,0,0,1
525,Sud Kivu,Shabunda,Ngolombe,Voie publique,Nyalubemba-Kiluma,OXFAM-GB,5/18/12,12-May,May-12,Cambriolage,Voie de fait  avec violence,Voie de fait,0,0,0
526,Orientale,Ango,Ango,Voie publique,20 km sud-ouest d'Ango,MEDAIR,5/19/12,12-May,May-12,Tracasseries,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
527,Nord Kivu,Goma,Quartier Kyeshero,Domicile,Goma,UNDSS,5/20/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Avec violence physique,0,0,0
528,Sud Kivu,Mwenga,Zokwe,Voie publique,Zokwe,UNDSS,5/20/12,12-May,May-12,Agression armee,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
529,Nord Kivu,Goma,Quartier Mabanga Sud,Domicile,Goma,UNDSS,5/21/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
530,Nord Kivu,Masisi,Ngesha,Voie publique,Bukombo - Loashi,Concern,5/21/12,12-May,May-12,Agression armee,Vol de rue,Avec violence physique,0,0,0
531,Nord Kivu,Rutshuru,Kishishe,Voie publique,Katwe - Bambo,MERLIN,5/21/12,12-May,May-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
532,Nord Kivu,Beni,Beni,Bureau,Butembo - Beni,PPSSP,5/22/12,12-May,May-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
533,Sud Kivu,Uvira,Biliba,Voie publique,Runingu,ADRA,5/23/12,12-May,May-12,Cambriolage,S_curit_ des vehicules,Vol de v_hicule,0,0,0
534,Sud Kivu,Bukavu,Bukavu,Voie publique,Hippodrome,UNDSS,5/26/12,12-May,May-12,Exactions,S_curit_ des vehicules,cambriolage de voiture,0,0,0
