"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
151,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Taduru (20 km NO de Limay)",2,,
152,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Liakanga (15 km SO de Ngilima)",1,,
153,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Taduru (20 km NO de Limay)",2,,1
154,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Nduga a 40 Km de Kiliwa, ",,,
155,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Naango (40 km NO de Dungu)",1,,1
156,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Zangaime (4  km N de Bangadi)",,1,1
157,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Gongolo (18 km NO de Ngilima)",,5,
158,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Route 4 (110 km E de Dungu)",,3,
159,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Kpegba (7km de Ngilima Nord-Est)",,12,
160,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Talu (3Km, Est de Ngilima). Une femme a ete enlevee.",,1,
161,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu",,2,1,1
162,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Kpaika (65 km N de Dungu)",,,1
163,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Nambia (5 km S de Duru)",1,3,
164,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Zikilingi (30 km NO de Bangadi)",1,,
165,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Diagbe (35 km NO de Bangadi)",1,,2
166,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","2 km S de Ngilima",1,1,
167,"10-Sep","September-2010","Orientale","Haut-Uele","Faradje","PR7S DE Kurukwata (45 km E de Faradje)",,,
168,"10-Sep","September-2010","Orientale","Haut-Uele","Faradje","Sidabo (19 km  NO de Faradje)",,,2
169,"10-Sep","September-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",,2,2
170,"10-Sep","September-2010","Orientale","Haut-Uele","Niangara","Wawe (3 km N de Niangara)",,1,
171,"10-Sep","September-2010","Orientale","Bas-Uele","Poko","Mamili (30 km N Amadi)",,,
172,"10-Sep","September-2010","Orientale","Bas-Uele","Poko","Epi (55 km N Amadi)",,,
173,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Manzagala (12 km N de Doruma",,,
174,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Nambili (22 km NO de Ngilima)",1,,
175,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Lidunde (35 km SE de Doruma)",,,
176,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Kana (25 km SE de Bangadi)",,,1
177,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Napopo (25 km NE de Bangadi)",,,
178,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Namama (20 km NE de Bangadi)",1,,
179,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Manzagala (10 km SE de Bangadi)",1,,
180,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Li-Ika (30 km NO de Dungu)",,,
